"time","ab"
2015-11-25,18595.3228251323
2015-11-26,18381.934060383
2015-11-27,18171.0240218913
2015-11-28,17962.8012259135
2015-11-29,17757.4589459756
2015-11-30,17555.1522863398
2015-12-01,17355.9781285866
2015-12-02,17159.9586274185
2015-12-03,16967.0286693684
2015-12-04,16777.0274671279
2015-12-05,16589.6942555269
2015-12-06,16404.6678896315
2015-12-07,16221.4900226614
2015-12-08,16039.6114592782
2015-12-09,15858.401233488
2015-12-10,15677.1579437828
2015-12-11,15495.1228845593
2015-12-12,15311.4945358904
2015-12-13,15125.4440075369
2015-12-14,14936.1310726792
2015-12-15,14742.7204680421
2015-12-16,14544.3981765536
2015-12-17,14340.3874437902
2015-12-18,14129.9643082495
2015-12-19,13912.4724465469
2015-12-20,13687.3371471301
2015-12-21,13454.0782297893
2015-12-22,13212.32172356
2015-12-23,12961.8101037991
2015-12-24,12702.4108724487
2015-12-25,12434.1232469932
2015-12-26,12157.0827076795
2015-12-27,11871.5631445067
2015-12-28,11577.9763513227
2015-12-29,11276.8686403271
2015-12-30,10968.914402065
2015-12-31,10654.9065177236
2016-01-01,10335.7436437016
2016-01-02,10012.4145306855
2016-01-03,9685.97970398012
2016-01-04,9357.55100684793
2016-01-05,9028.26967805618
2016-01-06,8699.28377974004
2016-01-07,8371.72589255057
2016-01-08,8046.69203472923
2016-01-09,7725.22272858395
2016-01-10,7408.28702818133
2016-01-11,7096.7701417626
2016-01-12,6791.4650465897
2016-01-13,6493.06822535137
2016-01-14,6202.17937892461
2016-01-15,5919.3047175921
2016-01-16,5644.8632255235
2016-01-17,5379.19514848033
2016-01-18,5122.57188077426
2016-01-19,4875.2064242568
2016-01-20,4637.26365173769
2016-01-21,4408.86971661007
2016-01-22,4190.12009377678
2016-01-23,3981.08589826711
2016-01-24,3781.81829308401
2016-01-25,3592.35095588071
2016-01-26,3412.70071771478
2016-01-27,3242.86661258676
2016-01-28,3082.82768280792
2016-01-29,2932.53997349832
2016-01-30,2791.93322163986
2016-01-31,2660.90780298285
2016-02-01,2539.33254461704
2016-02-02,2427.04404136551
2016-02-03,2323.84812727865
2016-02-04,2229.52414381826
2016-02-05,2143.8326057208
2016-02-06,2066.52678382891
2016-02-07,1997.36859002335
2016-02-08,1936.14895183189
2016-02-09,1882.71259507275
2016-02-10,1836.98680936954
2016-02-11,1799.01335993732
2016-02-12,1768.98224846431
2016-02-13,1747.26554993403
2016-02-14,1734.44911026496
2016-02-15,1731.35954455024
2016-02-16,1739.08379767513
2016-02-17,1758.97858556782
2016-02-18,1792.66737741174
2016-02-19,1842.02322714725
2016-02-20,1909.13669382227
2016-02-21,1996.26923309393
2016-02-22,2105.79367915914
2016-02-23,2240.12461911614
2016-02-24,2401.64243416235
2016-02-25,2592.61540877606
2016-02-26,2815.12450179241
2016-02-27,3070.99510836381
2016-02-28,3361.73946422044
2016-02-29,3688.51235696687
2016-03-01,4052.08165374079
2016-03-02,4452.81398047861
2016-03-03,4890.674829043
2016-03-04,5365.24152298256
2016-03-05,5875.72689440481
2016-03-06,6421.01122293849
2016-03-07,6999.67993654126
2016-03-08,7610.06472273639
2016-03-09,8250.28598659844
2016-03-10,8918.29495761141
2016-03-11,9611.91413852964
2016-03-12,10328.8751650462
2016-03-13,11066.853478224
2016-03-14,11823.4994874858
2016-03-15,12596.4661156584
2016-03-16,13383.4327715823
2016-03-17,14182.1258971114
2016-03-18,14990.336293285
2016-03-19,15805.9334550289
2016-03-20,16626.8771444892
2016-03-21,17451.2264184196
2016-03-22,18277.1463019919
2016-03-23,19102.9122755524
2016-03-24,19926.9127164904
2016-03-25,20747.6494186041
2016-03-26,21563.7362983225
2016-03-27,22373.8963921981
